station,Docked_Rent_15_1,Docked_Rent_15_2,Docked_Rent_15_3,Docked_Rent_15_4,Docked_Rent_15_5,Docked_Rent_15_6,Docked_Rent_15_7,Docked_Rent_15_8,Docked_Rent_15_9,Docked_Rent_15_10,Docked_Rent_15_11,Docked_Rent_15_12,Docked_Return_15_1,Docked_Return_15_2,Docked_Return_15_3,Docked_Return_15_4,Docked_Return_15_5,Docked_Return_15_6,Docked_Return_15_7,Docked_Return_15_8,Docked_Return_15_9,Docked_Return_15_10,Docked_Return_15_11,Docked_Return_15_12,Docked_Rent_30_1,Docked_Rent_30_2,Docked_Rent_30_3,Docked_Rent_30_4,Docked_Rent_30_5,Docked_Rent_30_6,Docked_Return_30_1,Docked_Return_30_2,Docked_Return_30_3,Docked_Return_30_4,Docked_Return_30_5,Docked_Return_30_6,Docked_Rent_45_1,Docked_Rent_45_2,Docked_Rent_45_3,Docked_Rent_45_4,Docked_Return_45_1,Docked_Return_45_2,Docked_Return_45_3,Docked_Return_45_4,Docked_Rent_60_1,Docked_Rent_60_2,Docked_Rent_60_3,Docked_Return_60_1,Docked_Return_60_2,Docked_Return_60_3
11005,0,0,0,0,2,0,1,4,3,2,0,1,0,0,0,7,0,1,5,3,6,4,2,2,0,0,2,5,5,1,0,7,1,8,10,4,0,2,8,3,0,8,14,8,0,7,6,7,9,14
11006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11007,1,1,2,2,1,9,1,1,3,0,2,3,0,0,0,3,0,5,1,0,1,1,6,3,2,4,10,2,3,5,0,3,5,1,2,9,4,12,5,5,0,8,2,10,6,12,8,3,6,11
11008,0,0,0,1,1,0,0,1,0,0,2,1,1,0,0,0,2,2,0,1,2,1,0,0,0,1,1,1,0,3,1,0,4,1,3,0,0,2,1,3,1,4,3,1,1,2,3,1,5,3
11009,0,1,2,0,1,3,1,2,6,3,2,1,0,0,1,0,2,0,4,2,1,2,1,0,1,2,4,3,9,3,0,1,2,6,3,1,3,4,9,6,1,2,7,3,3,7,12,1,8,4
11011,0,1,0,2,1,3,9,8,3,5,7,2,1,1,0,2,3,1,5,2,6,9,12,13,1,2,4,17,8,9,2,2,4,7,15,25,1,6,20,14,2,6,13,34,3,21,17,4,11,40
11012,1,0,1,0,0,1,4,1,7,4,0,0,0,0,2,4,2,6,4,11,12,4,14,10,1,1,1,5,11,0,0,6,8,15,16,24,2,1,12,4,2,12,27,28,2,6,11,6,23,40
11013,2,0,0,2,1,2,3,6,2,2,4,2,0,1,1,1,2,0,8,4,10,9,1,7,2,2,3,9,4,6,1,2,2,12,19,8,2,5,11,8,2,3,22,17,4,12,10,3,14,27
11014,0,0,3,3,6,4,5,4,8,7,6,1,0,0,2,0,1,4,6,2,3,5,3,6,0,6,10,9,15,7,0,2,5,8,8,9,3,13,17,14,2,5,11,14,6,19,22,2,13,17
11015,0,4,1,1,2,3,3,0,0,2,5,0,0,0,0,0,4,0,0,0,1,1,0,1,4,2,5,3,2,5,0,0,4,0,2,1,5,6,3,7,0,4,1,2,6,8,7,0,4,3
11016,0,0,0,1,4,1,2,0,4,5,1,3,0,0,1,0,0,1,2,3,2,3,1,8,0,1,5,2,9,4,0,1,1,5,5,9,0,6,6,9,1,1,7,12,1,7,13,1,6,14
11018,0,0,0,1,1,0,1,3,21,7,2,6,0,0,1,0,0,0,0,2,2,1,0,2,0,1,1,4,28,8,0,1,0,2,3,2,0,2,25,15,1,0,4,3,1,5,36,1,2,5
11019,0,0,0,0,1,2,0,1,4,1,0,1,1,0,0,0,1,2,4,6,3,5,4,2,0,0,3,1,5,1,1,0,3,10,8,6,0,3,5,2,1,3,13,11,0,4,6,1,13,14
11020,0,1,1,2,3,1,4,2,3,5,2,2,0,1,0,2,2,1,0,4,5,3,2,2,1,3,4,6,8,4,1,2,3,4,8,4,2,6,9,9,1,5,9,7,4,10,12,3,7,12
11021,0,0,2,3,0,1,4,8,10,10,7,5,0,1,0,1,2,1,3,5,4,3,7,3,0,5,1,12,20,12,1,1,3,8,7,10,2,4,22,22,1,4,12,13,5,13,32,2,11,17
11022,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,1,1,2,2,0,6,6,2,0,0,1,0,2,0,0,0,2,4,6,8,0,1,1,1,0,2,4,14,0,1,2,0,6,14
11023,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,2,1,1,1,2,1,0,1,0,1,1,1,1,0,0,2,2,3,1,1,1,2,1,0,2,3,3,1,2,2,0,4,4
11024,0,1,4,1,0,2,1,4,0,1,1,0,0,0,2,1,0,0,0,1,0,2,0,0,1,5,2,5,1,1,0,3,0,1,2,0,5,3,5,2,2,1,1,2,6,7,2,3,1,2
11025,0,0,0,1,2,0,3,1,0,0,1,2,0,0,1,0,0,0,0,1,1,0,0,0,0,1,2,4,0,3,0,1,0,1,1,0,0,3,4,3,1,0,2,0,1,6,3,1,1,1
11026,2,1,1,2,1,1,4,1,2,4,3,6,0,0,0,0,0,0,2,2,2,2,3,1,3,3,2,5,6,9,0,0,0,4,4,4,4,4,7,13,0,0,6,6,6,7,15,0,4,8
11027,0,0,1,6,1,4,0,3,3,2,4,1,0,1,0,1,0,1,5,1,9,7,4,4,0,7,5,3,5,5,1,1,1,6,16,8,1,11,6,7,1,2,15,15,7,8,10,2,7,24
11028,0,2,2,2,4,4,7,7,3,7,3,2,1,0,1,2,1,1,5,6,13,37,9,7,2,4,8,14,10,5,1,3,2,11,50,16,4,10,17,12,2,4,24,53,6,22,15,4,13,66
11029,0,0,0,0,1,0,1,2,4,2,3,0,0,0,0,0,1,1,4,0,4,6,5,2,0,0,1,3,6,3,0,0,2,4,10,7,0,1,7,5,0,2,8,13,0,4,9,0,6,17
11030,2,0,1,1,3,1,2,4,4,1,2,1,0,0,2,1,0,1,1,2,2,4,2,0,2,2,4,6,5,3,0,3,1,3,6,2,3,5,10,4,2,2,5,6,4,10,8,3,4,8
11031,0,0,0,2,0,1,0,2,5,3,0,7,0,0,0,2,2,2,1,4,4,2,1,1,0,2,1,2,8,7,0,2,4,5,6,2,0,3,7,10,0,6,9,4,2,3,15,2,9,8
11034,2,1,1,0,1,1,0,1,0,0,1,0,0,0,2,1,1,1,1,0,0,0,0,0,3,1,2,1,0,1,0,3,2,1,0,0,4,2,1,1,2,3,1,0,4,3,1,3,3,0
11035,0,0,0,1,2,2,0,1,1,1,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1,4,1,2,1,0,2,0,2,0,0,0,5,2,2,1,1,2,0,1,5,3,2,2,0
